instance,bacnet_type,name,wire_offset,register_count,bits,encoding,scale,bacnet_units,units,period_ms,stale_ms,states,native_access,gateway_access,description
1001,analogInput,ATS-System-overview-raw,0,1,,U16,1/1,95,,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 0; read-only System overview raw.
1002,multiStateInput,ATS-Contactor-position,0,1,0:1,ENUM,1/1,95,,2000,6000,1=Off; 2=Normal; 3=Emergency; 4=Fault; 5=Unknown,RO,read-only,MPAC1500 old-map section 13; FC03 offset 0; read-only Contactor position.
1003,multiStateInput,ATS-Preferred-source,0,1,2:2,ENUM,1/1,95,,2000,6000,1=Source 1; 2=Source 2; 3=Unknown,RO,read-only,MPAC1500 old-map section 13; FC03 offset 0; read-only Preferred source.
1004,analogInput,ATS-Top-warning-event-code,0,1,3:12,U16,1/1,95,,2000,6000,,RO,read-only,"MPAC1500 old-map section 13; FC03 offset 0; read-only Top warning/event code. One top event only, not all simultaneous alarms; code 256 means System Ready."
1005,binaryInput,ATS-Preferred-source-available,0,1,13:13,BOOL,1/1,95,,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 0; read-only Preferred source available.
1006,binaryInput,ATS-Standby-source-available,0,1,14:14,BOOL,1/1,95,,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 0; read-only Standby source available.
1007,analogInput,ATS-Normal-voltage-L1-N,1,1,,U16,1/10,5,V,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 1; read-only Normal voltage L1-N. Controller-reported L-N voltage; site sensing/wiring qualification not established.
1008,analogInput,ATS-Normal-voltage-L2-N,2,1,,U16,1/10,5,V,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 2; read-only Normal voltage L2-N. Controller-reported L-N voltage; site sensing/wiring qualification not established.
1009,analogInput,ATS-Normal-voltage-L3-N,3,1,,U16,1/10,5,V,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 3; read-only Normal voltage L3-N. Controller-reported L-N voltage; site sensing/wiring qualification not established.
1010,analogInput,ATS-Emergency-voltage-L1-N,4,1,,U16,1/10,5,V,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 4; read-only Emergency voltage L1-N. Controller-reported L-N voltage; site sensing/wiring qualification not established.
1011,analogInput,ATS-Emergency-voltage-L2-N,5,1,,U16,1/10,5,V,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 5; read-only Emergency voltage L2-N. Controller-reported L-N voltage; site sensing/wiring qualification not established.
1012,analogInput,ATS-Emergency-voltage-L3-N,6,1,,U16,1/10,5,V,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 6; read-only Emergency voltage L3-N. Controller-reported L-N voltage; site sensing/wiring qualification not established.
1013,analogInput,ATS-Normal-voltage-L1-L2,7,1,,U16,1/10,5,V,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 7; read-only Normal voltage L1-L2.
